National Code,National Title,Specialisations,NRT Type,Usage Recommendation,Usage Recommendation Start Date,NRT Status,Currency Period Start Date,Currency Period End Date,Superseded by,Is Equivalent,Supersedes,Is Equivalent,Latest Release Number,Latest Release Date,Parent Training Package Code,Parent Training Package Title,Is Confidential,Training Package Developer,Copyright Holder,Copyright Holder Job Title,Copyright Holder Group Name,Copyright Holder Organisation,Copyright Holder Email,Recognition Manager,ANZSCO Code,ANZSCO Name,ASCO Code,ASCO Name,ASCED6 Code,ASCED6 Name,ASCED4 Code,ASCED4 Name,Taxonomy (Industry),Taxonomy (Occupation),Qualification Level Code,Qualification Level Name,Licencing,Has Work Placement Hours,Work Placement Hours,Pre-requisite
SHB,Hairdressing and Beauty Services Training Package,,Training package,Current,25/09/2015,Current,,,,,SIH11;SIB10,False;False,4.1,05/07/2022,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
SIF,Funeral Services,,Training package,Current,21/06/2013,Current,,,,,SIF08,False,2.3,04/04/2022,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
SIR,Retail Services Training Package,,Training package,Current,31/03/2016,Current,,,,,SIR07,False,7.0,10/11/2021,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
SIS,"Sport, Fitness and Recreation Training Package",,Training package,Current,03/09/2015,Current,,,,,SIS10,False,6.1,24/03/2025,,,False,HumanAbility,,,,,,,,,,,,,,,,,,,,False,,False
SIT,"Tourism, Travel and Hospitality Training Package",,Training package,Current,03/03/2016,Current,,,,,SIT12,True,2.2,02/03/2023,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
TAE,Training and Education Training Package,,Training package,Current,27/08/2013,Current,,,,,TAE10,False,5.0,08/12/2022,,,False,Department of Employment and Workplace Relations (Interim),,,,,,,,,,,,,,,,,,,,False,,False
TLI,Transport and Logistics Training Package,,Training package,Current,19/10/2015,Current,,,,,TLI10,False,15.0,10/07/2024,,,False,Industry Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
UEE,Electrotechnology Training Package,,Training package,Current,18/04/2017,Current,,,,,UEE11,False,7.0,24/03/2025,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
UEG,Gas Industry Training Package,,Training package,Current,05/09/2018,Current,,,,,UEG11,True,4.0,09/12/2022,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
UEP,Electricity Supply Industry - Generation Sector Training Package,,Training package,Current,31/10/2018,Current,,,,,UEP12,True,3.0,13/12/2022,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
UET,"Transmission, Distribution and Rail Sector",,Training package,Current,25/09/2019,Current,,,,,UET12,True,5.0,06/12/2022,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
AUM08,Automotive Manufacturing,,Training package,Superseded,29/06/2012,Superseded,01/09/2008,28/06/2012,AUM12,True,AUM00,False,1.1,01/09/2008,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
CPP07,Property Services Training Package,,Training package,Superseded,13/06/2022,Superseded,28/08/2007,,CPP,True,PRS03;PRM04;PRD01,False;False;False,15.0,21/10/2021,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CSC07,Correctional Services Training Package,,Training package,Superseded,30/04/2012,Superseded,01/05/2007,29/04/2012,CSC12,True,CSC01,False,1.2,22/12/2010,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CSC12,Correctional Services Training Package,,Training package,Superseded,03/08/2015,Superseded,02/11/2012,,CSC,True,CSC07,True,1.1,02/11/2012,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
FPI05,Forest and Forest Products Training Package,,Training package,Superseded,07/02/2012,Superseded,12/12/2005,06/02/2012,FPI11,True,FPI99,False,3.0,20/05/2011,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
FPI11,Forest and Forest Products Training Package,,Training package,Superseded,13/05/2016,Superseded,27/11/2012,,FWP,True,FPI05,True,2.3,01/05/2015,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
FPP10,Pulp & Paper Manufacturing Industry Training Package,,Training package,Superseded,06/05/2016,Superseded,14/07/2011,,PPM,True,FPP01,False,1.3,01/05/2015,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
ICA05,Information and Communications Technology Training Package,,Training package,Superseded,18/07/2011,Superseded,01/11/2005,17/07/2011,ICA11,True,ICA99,False,3.1,08/07/2010,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
