National Code,National Title,Specialisations,NRT Type,Usage Recommendation,Usage Recommendation Start Date,NRT Status,Currency Period Start Date,Currency Period End Date,Superseded by,Is Equivalent,Supersedes,Is Equivalent,Latest Release Number,Latest Release Date,Parent Training Package Code,Parent Training Package Title,Is Confidential,Training Package Developer,Copyright Holder,Copyright Holder Job Title,Copyright Holder Group Name,Copyright Holder Organisation,Copyright Holder Email,Recognition Manager,ANZSCO Code,ANZSCO Name,ASCO Code,ASCO Name,ASCED6 Code,ASCED6 Name,ASCED4 Code,ASCED4 Name,Taxonomy (Industry),Taxonomy (Occupation),Qualification Level Code,Qualification Level Name,Licencing,Has Work Placement Hours,Work Placement Hours,Pre-requisite
UTG98,Gas Industry Training Package (Superseded by UEG06),,Training package,Superseded,24/04/2006,Superseded,21/10/1998,23/04/2006,UEG06,False,,,1.0,21/10/1998,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
UTL98,Lifts Industry Training Package (Superseded and included in UEE06),,Training package,Superseded,23/11/2006,Superseded,04/12/1998,22/11/2006,UEE06,False,,,1.0,04/12/1998,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
UTP98,Electricity Supply Industry - Generation Training Package (Superseded by UEP06),,Training package,Superseded,07/11/2006,Superseded,21/10/1998,06/11/2006,UEP06,False,,,1.0,21/10/1998,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
UTT98,Electricity Supply Industry - Transmission And Distribution Training Package (Superseded by UET06),,Training package,Superseded,10/07/2006,Superseded,21/10/1998,09/07/2006,UET06,False,,,1.0,21/10/1998,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
UTW98,Water Industry (Superseded by NWP01),,Training package,Superseded,20/05/2002,Superseded,21/10/1998,19/05/2002,NWP01,False,,,1.0,21/10/1998,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
WFS02,Funeral Services Training Package (Superseded by SIF08),,Training package,Superseded,21/08/2008,Superseded,18/02/2002,20/08/2008,SIF08,False,,,1.0,11/02/2002,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
WRB04,Beauty Training Package,,Training package,Superseded,21/07/2011,Superseded,21/06/2004,20/07/2011,SIB10,False,WRB99,False,1.0,07/06/2004,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
WRB99,National Beauty (Superseded by WRB04),,Training package,Superseded,21/06/2004,Superseded,06/07/1999,20/06/2004,WRB04,False,,,1.0,06/07/1999,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
WRF04,Floristry Training Package,,Training package,Superseded,21/07/2011,Superseded,27/02/2004,20/07/2011,SFL10,False,WRF99,False,1.0,12/02/2004,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
WRF99,Floristry (Superseded by WRF04),,Training package,Superseded,27/02/2004,Superseded,19/07/1999,26/02/2004,WRF04,False,,,1.0,19/07/1999,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
WRH00,Hairdressing (Superseded by WRH06),,Training package,Superseded,27/01/2006,Superseded,04/08/2000,26/01/2006,WRH06,False,,,1.0,04/08/2000,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
WRP02,Community Pharmacy Training Package (Superseded by SIR07),,Training package,Superseded,24/08/2007,Superseded,18/02/2002,23/08/2007,SIR07,False,,,1.0,04/02/2002,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
WRR02,Retail Training Package (Superseded by SIR07),,Training package,Superseded,24/08/2007,Superseded,30/01/2002,23/08/2007,SIR07,False,WRR97,False,1.0,30/01/2002,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
WRR97,Retail (Superseded by WRR02),,Training package,Superseded,30/01/2002,Superseded,23/09/1997,29/01/2002,WRR02,False,,,1.0,23/09/1997,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
WRW01,Wholesale Training Package (Superseded by SIR07),,Training package,Superseded,24/08/2007,Superseded,23/05/2001,23/08/2007,SIR07,False,,,1.0,23/05/2001,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
ZQF00,Qantas - (CONFIDENTIAL - Not all detail is accessible) (Superseded by AVI08),,Training package,Superseded,01/04/2008,Superseded,10/10/2000,31/03/2008,AVI08,False,,,1.0,10/10/2000,,,True,Industry Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
ZWA99,Woolworths (CONFIDENTIAL - not all detail is accessible) (Superseded by ZWA04),,Training package,Superseded,16/01/2004,Superseded,28/10/1999,15/01/2004,ZWA04,False,,,1.0,28/10/1999,,,True,SkillsIQ,,,,,,,,,,,,,,,,,,,,False,,False
ZWV03,Humanitarian (Superseded by ZWV05),,Training package,Superseded,19/09/2005,Superseded,17/03/2003,18/09/2005,ZWV05,False,,,1.0,17/03/2003,,,False,World Vision Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUF07,Screen and Media Training Package,,Training package,Deleted,18/10/2018,Deleted,01/01/2008,,,,CUF01,False,1.2,11/11/2010,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUL11,"Library, Information and Cultural Services Training Package",,Training package,Deleted,18/10/2018,Deleted,20/12/2011,,,,CUL04,False,1.0,20/12/2011,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
CUS09,Music,,Training package,Deleted,18/10/2018,Deleted,05/11/2009,,,,CUS01,False,1.2,02/11/2011,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
PMC,Manufactured Mineral Products,,Training package,Deleted,08/11/2018,Deleted,,,,,PMC10,True,1.0,22/06/2016,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
ZBE02,Boral Interior Lining (CONFIDENTIAL - detail not available),,Training package,Deleted,29/11/2016,Deleted,28/11/2002,,,,,,1.0,28/11/2002,,,True,,,,,,,,,,,,,,,,,,,,,False,,False
ZBS00,Australian Red Cross Blood Services (CONFIDENTIAL - Not all detail is accessible),,Training package,Deleted,29/11/2016,Deleted,18/07/2000,,,,,,1.0,18/07/2000,,,True,SkillsIQ,,,,,,,,,,,,,,,,,,,,False,,False
ZCA97,Service Technician Portable Fire Equipment (Chubb Fire),,Training package,Deleted,29/11/2016,Deleted,25/11/1997,,,,,,1.0,25/11/1997,,,False,Manufacturing Industry Skills Council,,,,,,,,,,,,,,,,,,,,False,,False
ZKO99,Kodak (Australasia) - (CONFIDENTIAL - Not all detail is accessible),,Training package,Deleted,29/11/2016,Deleted,24/12/1999,,,,,,1.0,24/12/1999,,,True,,,,,,,,,,,,,,,,,,,,,False,,False
ZPO99,P & O Ports,,Training package,Deleted,29/11/2016,Deleted,13/01/1999,,,,,,1.0,13/01/1999,,,False,Australian Industry Standards,,,,,,,,,,,,,,,,,,,,False,,False
ZQR00,Queensland Rail - Civil Infrastructure (CONFIDENTIAL - Not all detail is accessible),,Training package,Deleted,29/11/2016,Deleted,13/04/2000,,,,,,1.0,13/04/2000,,,True,Australian Industry Standards,,,,,,,,,,,,,,,,,,,,False,,False
ZRG00,Ricegrowers' Cooperative Limited - (CONFIDENTIAL - Not all detail is accessible),,Training package,Deleted,29/11/2016,Deleted,13/10/2000,,,,,,1.0,13/10/2000,,,True,,,,,,,,,,,,,,,,,,,,,False,,False
ZWA04,Woolworths (CONFIDENTIAL - not all detail is accessible),,Training package,Deleted,29/11/2016,Deleted,16/01/2004,,,,ZWA99,False,1.0,16/01/2004,,,True,SkillsIQ,,,,,,,,,,,,,,,,,,,,False,,False
ZWV05,Humanitarian,,Training package,Deleted,29/11/2016,Deleted,19/09/2005,,,,ZWV03,False,1.0,19/09/2005,,,False,World Vision Australia,,,,,,,,,,,,,,,,,,,,False,,False
ZZZ00,Superseded units,,Training package,Deleted,29/11/2016,Deleted,,,,,,,1.0,01/01/2000,,,False,,,,,,,,,,,,,,,,,,,,,False,,False
